id,store_id,store,address,zip_code,types,rating,total_ratings,location_lat,location_lng,conv_rate
ChIJBe7XKMvJBZERLxXLXN2i0bQ,1,T. ANGAMOS,"Angamos Open Plaza, Av. Angamos Este 1803, Surquillo 15038, Perú",15038,"department_store,food,point_of_interest,store,establishment",4.2,3499,-12.1121228,-77.0119674,0.3256413174446557
ChIJCYWX9UJKQpERd-1IXrKzHkA,2,T. AREQUIPA CAYMA,"Mallplaza, Av. Ejército 793, Cayma 04014, Perú",04014,"department_store,food,point_of_interest,store,establishment",4.0,11065,-16.390443,-71.546741,0.3010405558475861
ChIJeZLHYBpLQpERRLRv3_-pNnE,3,T. AREQUIPA PORONGOCHE,"Mall Aventura Plaza, Arequipa, Av. Porongoche 502, Paucarpata 04008, Perú",04008,"department_store,point_of_interest,store,establishment",3.9,3771,-16.416682,-71.514465,0.2334491756690058
ChIJe7R12Gu4BZERgoGU7LEot3Y,4,T. ATOCONGO,"Centro Comercial, Estacionamiento Open Pl. Atocongo 1801, San Juan de Miraflores 15803, Perú",15803,"department_store,food,point_of_interest,store,establishment",4.0,1457,-12.146962,-76.9814339,0.3766078871816229
ChIJA_TqGVjJBZERWUarkHURiHk,5,T. BELLAVISTA,"Mall Aventura Plaza, Av. Óscar R. Benavides 3866, Bellavista 07011, Perú",07011,"department_store,shopping_mall,store,food,point_of_interest,establishment",4.1,4285,-12.055882,-77.101058,0.3174789292354788
ChIJxw6j0PFaspERSSm-Eiu1yLU,6,T. CAJAMARCA,"VF2R+44F, Av. Hoyos Rubio, Cajamarca 06001, Perú",06001,"clothing_store,point_of_interest,store,establishment",4.0,848,-7.149696499999999,-78.50970629999999,0.2464602602440317
ChIJBxiAq1P5D5ERjPsGwyrWjCQ,7,T. CAÑETE,"San Vicente de Cañete 15700, Perú",15700,"food,point_of_interest,store,establishment",4.0,348,-13.0756757,-76.3731741,0.2755823737721442
ChIJaaygm8XIBZERBCdbuc4n2Sc,8,T. CENTRO CIVICO,"Av. Garcilaso de la Vega 1337, Lima 15001, Perú",15001,"department_store,clothing_store,store,point_of_interest,establishment",4.1,7762,-12.0573172,-77.037716,0.3557199057787023
ChIJF-7eiyzvTJARJTRcq095rfg,9,T. CHICLAYO,"Gral. Arenales 167a, Chiclayo 14008, Perú",14008,"department_store,store,point_of_interest,establishment",4.0,5982,-6.777316,-79.832225,0.2304169065965962
ChIJ-69ugQOEq5ER7l6rhx1sKVY,10,T. CHIMBOTE,"Av. Pardo 4694, Chimbote 02800, Perú",02800,"department_store,food,point_of_interest,store,establishment",4.0,2015,-9.1026923,-78.5569189,0.2761815785434123
ChIJOyXd4l_RBZERoOleUr9sjpE,11,T. COMAS,"Av. Los Ángeles 528, Comas 15314, Perú",15314,"department_store,shopping_mall,point_of_interest,store,establishment",4.4,2559,-11.9373012,-77.06548719999999,0.3071066030812801
